,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
888,above 200 EUR,36,paid back previous loans at this bank,other,6614,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,34,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
889,above 200 EUR,28,other loans exist at other banks,new car,7824,above 1000 EUR,less than 1 year,between 20 and 25%,male married or widowed,guarantor,more than 7 years,real estate,40,at other banks,rent,2 or 3,skilled,3 and more,yes,no,Approved
890,no account,27,paid back previous loans at this bank,retraining,2442,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,43,at department store,own,6 or more,executive or self-employed,3 and more,yes,no,Approved
891,above 200 EUR,15,paid back previous loans at this bank,furniture,1829,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,46,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
892,no account,12,paid back previous loans at this bank,other,2171,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,38,at other banks,own,2 or 3,unskilled (permanent resident),0 to 2,none,yes,Approved
893,no balance,36,paid back previous loans at this bank,new car,5800,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,more than 7 years,car,34,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
894,above 200 EUR,18,paid back previous loans at this bank,furniture,1169,above 1000 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,29,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
895,above 200 EUR,36,no problems with current loans,new car,8947,above 1000 EUR,between 4  and 7 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,car,31,at department store,own,1,executive or self-employed,3 and more,yes,no,Approved
896,no account,21,paid back all previous loans,furniture,2606,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,life insurance,28,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Approved
897,above 200 EUR,12,paid back previous loans at this bank,used car,1592,between 500 and 1000 EUR,between 4  and 7 years,between 20 and 25%,male single,none,between 1 and 4 years,life insurance,35,no additional loans,own,1,skilled,0 to 2,none,yes,Approved
898,above 200 EUR,15,paid back all previous loans,used car,2186,above 1000 EUR,between 4  and 7 years,more than 35%,male single,none,more than 7 years,real estate,33,at other banks,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
899,no account,18,paid back all previous loans,used car,4153,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,co-applicant,between 4 and 7 years,car,42,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
900,no account,16,paid back previous loans at this bank,other,2625,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,guarantor,more than 7 years,life insurance,43,at other banks,rent,1,skilled,0 to 2,yes,no,Rejected
901,above 200 EUR,20,paid back previous loans at this bank,other,3485,above 1000 EUR,less than 1 year,between 25 and 35%,male divorced,none,more than 7 years,real estate,44,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
902,above 200 EUR,36,paid back previous loans at this bank,new car,10477,above 1000 EUR,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,none,42,no additional loans,for free,2 or 3,skilled,0 to 2,none,no,Approved
903,above 200 EUR,15,paid back all previous loans,furniture,1386,above 1000 EUR,between 1 and 4 years,less than 20%,female,none,between 1 and 4 years,real estate,40,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
904,above 200 EUR,24,paid back all previous loans,furniture,1278,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,less than 1 year,real estate,36,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
905,no account,12,paid back all previous loans,furniture,1107,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,real estate,20,no additional loans,rent,1,executive or self-employed,3 and more,yes,no,Approved
906,no account,21,paid back all previous loans,other,3763,above 1000 EUR,between 4  and 7 years,between 25 and 35%,male married or widowed,co-applicant,between 1 and 4 years,real estate,24,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,yes,Approved
907,no balance,36,paid back all previous loans,repair,3711,above 1000 EUR,between 1 and 4 years,between 25 and 35%,female,none,between 1 and 4 years,car,27,no additional loans,own,1,skilled,0 to 2,none,no,Approved
908,above 200 EUR,15,no problems with current loans,new car,3594,no savings account at this bank,less than 1 year,more than 35%,male single,none,between 1 and 4 years,life insurance,46,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
909,no balance,9,paid back all previous loans,other,3195,above 1000 EUR,between 1 and 4 years,more than 35%,male single,none,between 1 and 4 years,real estate,33,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
910,above 200 EUR,36,no problems with current loans,furniture,4454,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,more than 7 years,real estate,34,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
911,no balance,24,paid back previous loans at this bank,used car,4736,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,more than 7 years,car,25,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Rejected
912,no balance,30,paid back all previous loans,furniture,2991,above 1000 EUR,more than 7 years,between 25 and 35%,male single,none,more than 7 years,car,25,no additional loans,own,1,skilled,0 to 2,none,no,Approved
913,above 200 EUR,11,paid back all previous loans,retraining,2142,between 500 and 1000 EUR,more than 7 years,more than 35%,male divorced,none,between 1 and 4 years,real estate,28,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
914,no account,24,other loans exist at other banks,retraining,3161,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,31,no additional loans,rent,1,skilled,0 to 2,yes,no,Rejected
915,no balance,48,delay payment of previous loans,business,18424,no savings account at this bank,between 1 and 4 years,more than 35%,male single,none,between 1 and 4 years,life insurance,32,at other banks,own,1,executive or self-employed,0 to 2,yes,yes,Rejected
916,above 200 EUR,10,paid back all previous loans,new car,2848,below 100 EUR,between 1 and 4 years,more than 35%,male married or widowed,co-applicant,between 1 and 4 years,real estate,32,no additional loans,own,1,skilled,3 and more,none,no,Approved
917,no account,6,paid back all previous loans,other,14896,no savings account at this bank,more than 7 years,more than 35%,male married or widowed,none,more than 7 years,none,68,at other banks,own,1,executive or self-employed,0 to 2,yes,no,Rejected
918,no account,24,paid back all previous loans,used car,2359,below 100 EUR,unemployed,more than 35%,male divorced,none,less than 1 year,life insurance,33,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
919,no account,24,paid back all previous loans,used car,3345,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,39,no additional loans,rent,1,executive or self-employed,0 to 2,yes,no,Rejected
920,above 200 EUR,18,paid back previous loans at this bank,used car,1817,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,none,28,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
921,above 200 EUR,48,no problems with current loans,furniture,12749,between 100 and 500 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,less than 1 year,car,37,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
922,no account,9,paid back all previous loans,furniture,1366,no savings account at this bank,less than 1 year,between 20 and 25%,male single,none,more than 7 years,life insurance,22,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
923,no balance,12,paid back all previous loans,other,2002,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,life insurance,30,no additional loans,rent,1,skilled,3 and more,yes,no,Approved
924,no account,24,other loans exist at other banks,used car,6872,no savings account at this bank,less than 1 year,between 25 and 35%,male divorced,none,less than 1 year,life insurance,55,at other banks,own,1,skilled,0 to 2,yes,no,Rejected
925,no account,12,other loans exist at other banks,other,697,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,car,46,at other banks,own,2 or 3,skilled,0 to 2,yes,no,Rejected
926,no account,18,paid back previous loans at this bank,used car,1049,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,life insurance,21,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
927,no account,48,paid back all previous loans,new car,10297,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,none,39,at department store,for free,4 or 5,skilled,3 and more,yes,no,Rejected
928,above 200 EUR,30,paid back all previous loans,furniture,1867,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,58,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
929,no account,12,no problems with current loans,other,1344,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,real estate,43,no additional loans,own,2 or 3,unskilled (permanent resident),3 and more,none,no,Approved
930,no account,24,paid back all previous loans,used car,1747,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,co-applicant,less than 1 year,life insurance,24,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,yes,Approved
931,no balance,9,paid back all previous loans,furniture,1670,no savings account at this bank,less than 1 year,less than 20%,male single,none,between 1 and 4 years,car,22,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
932,above 200 EUR,9,paid back previous loans at this bank,other,1224,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,less than 1 year,real estate,30,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
933,above 200 EUR,12,paid back previous loans at this bank,furniture,522,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,42,no additional loans,own,2 or 3,skilled,3 and more,yes,no,Approved
